sha256,file_size_bytes,copies,redundant_bytes,paths
32bc1bde2470aa30dd938dd58f27b84ec243f6b50a7210c1c43af8400e7a0e21,2262,2,2262,models/v126_startup_automation_status.json | reports/v126_startup_automation_report.json
c02a08abe474f59d33439e70f0d224eeeba1de83b74a5bf31b9d6c83e752b282,2220,2,2220,reports/v71_ticket_pack_printable.md | reports/v71_ticket_pack_summary.md
f461cc3bc9de8d52e0848805858d89f2ec6cc7e14b9e7cb3ac76d9682fc56c88,2211,2,2211,models/v113/jackpot_cycle_model.json | reports/v113_jackpot_cycle_report.json
a38a55e3153569a411133cdd2755c2169a996f17c89c6b07c1d9de4926f1e199,2093,2,2093,models/v102/v102_runtime_hardening_model.json | reports/v102_runtime_hardening_summary.json
91d1fbc6a6ff500d9283723d90eb26c0932f4e7d346066038fa4d1db47e5d889,1845,2,1845,models/v117_1/add_draw_ticket_pack_price_sync_status.json | reports/v117_1_add_draw_ticket_pack_price_sync_report.json
f052916fdff458dd82e94a6521fa66c08acaf86a1ab1a72edea16d3f979c7d35,1627,2,1627,models/v112/prize_statistics_model.json | reports/v112_prize_statistics_report.json
963f7fa4f0fbe1a601f8b4310c602be951d9520c48e7eeb383c9652320225232,1555,2,1555,models/v109_3/v109_3_ticket_pack_source_clarity_model.json | reports/v109_3_ticket_pack_source_clarity_summary.json
4d715e0a0025f5b46523e190bca747d433d5c7c464243ced5678b7070e2e7efe,1521,2,1521,models/v109_4/v109_4_ticket_pack_source_alignment_model.json | reports/v109_4_ticket_pack_source_alignment_summary.json
4ab104145e4b68de2cd60f09b5a24de0895631fff04b1ba8139ccc06030e3c5e,1404,2,1404,models/v125_unified_downstream_refresh_status.json | reports/v125_unified_downstream_refresh_report.json
bcbf5c65d57746ab85ba14c5eaff5e3e1eb37c7756cb831df0bc70a2760a8144,1392,2,1392,models/v123_bst_official_draw_detection_status.json | reports/v123_bst_official_draw_detection_report.json
a2dedb1355e819ca4f69583960a0fffa02fdce726a3c79819fb10a56084a9d96,1380,2,1380,models/v103_1/v103_1_clean_zip_metadata_finalizer_model.json | reports/v103_1_clean_zip_metadata_finalizer_summary.json
0ffd862e77d408b7764d1248011e76353acd7fb558ef74e8b5dac0aa03e80a48,1338,2,1338,models/v111_9/status.json | reports/v111_9_remove_unofficial_archive_source_report.json
c026df14dee6c1f795bd83fd460a56ec5576770e533ac3b0e0ae81ffc45e983c,866,2,866,reports/v94_latest_plan_result.csv | reports/v95_active_plan_auto_evaluation_latest_result.csv
8dab7bc30253a5fb368ec758c3e53710cfb47e1665dd5f69cecdc69004271492,242,2,242,models/v111_11/data_reality_center_status.json | reports/v111_11_data_reality_center_report.json
86f76ee33dbcdcb13c4afdfb26a75d659e95dc209b4c9c7407b25871ba8cffbb,208,2,208,models/v111_10/full_historical_draws_view_status.json | reports/v111_10_full_historical_draws_view_report.json
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,4,0,reports/r/.gitkeep | reports/r/plots/.gitkeep | src/__init__.py | streamlit_pages/__init__.py
