file,line,widget,source_text,bulgarian_display,english_display,forbidden_bg_tokens,unexpected_ascii_words,bg_pass
streamlit_app.py,2485,markdown,"\n        <div class=""model-card"">\n          <div class=""model-title""></div>\n          <div class=""model-meta""></div>\n          \n          <div><span class=""score-badge"">: </span><span class=""score-badge"">: </span></div>\n          <div class=""small-muted"" style=""margin-top:10px;""></div>\n        </div>\n        ","\n <div class=""model-card"">\n <div class=""model-title""></div>\n <div class=""model-meta""></div>\n \n <div><span class=""score-badge"">: </span><span class=""score-badge"">: </span></div>\n <div class=""small-muted"" style=""margin-top:10px;""></div>\n </div>\n ","\n        <div class=""model-card"">\n          <div class=""model-title""></div>\n          <div class=""model-meta""></div>\n          \n          <div><span class=""score-badge"">: </span><span class=""score-badge"">: </span></div>\n          <div class=""small-muted"" style=""margin-top:10px;""></div>\n        </div>\n        ",,,True
streamlit_app.py,3384,markdown,"\n        <div class=""v39-slip-wrap"">\n            <div class=""v39-slip-title"">\n                <div>\n                    <div class=""v39-slip-title-main""></div>\n                    <div class=""v39-slip-title-sub""></div>\n                </div>\n                <div class=""v39-slip-title-main"">◎ 6/49</div>\n            </div>\n        </div>\n        ","\n <div class=""v39-slip-wrap"">\n <div class=""v39-slip-title"">\n <div>\n <div class=""v39-slip-title-main""></div>\n <div class=""v39-slip-title-sub""></div>\n </div>\n <div class=""v39-slip-title-main"">◎ 6/49</div>\n </div>\n </div>\n ","\n        <div class=""v39-slip-wrap"">\n            <div class=""v39-slip-title"">\n                <div>\n                    <div class=""v39-slip-title-main""></div>\n                    <div class=""v39-slip-title-sub""></div>\n                </div>\n                <div class=""v39-slip-title-main"">◎ 6/49</div>\n            </div>\n        </div>\n        ",,,True
streamlit_app.py,3423,markdown,"\n        <div class=""v39-slip-summary"">\n            \n        </div>\n        ","\n <div class=""v39-slip-summary"">\n \n </div>\n ","\n        <div class=""v39-slip-summary"">\n            \n        </div>\n        ",,,True
streamlit_app.py,4190,selectbox,Главен раздел,Главен раздел,Main section,,,True
streamlit_app.py,4204,radio,Страница,Страница,Page,,,True
streamlit_app.py,4210,button,➕ Добави нов тираж,➕ Добави нов тираж,➕ Добави нов draw,,,True
streamlit_app.py,642,info,"Най-добрата стратегия в тази историческа проверка е: . Това е проверка на модела, не доказателство, че бъдещи тегления са предсказуеми.","Най-добрата стратегия в тази историческа проверка е: . Това е проверка на модела, не доказателство, че бъдещи тегления са предсказуеми.","Най-добрата стратегия в тази историческа check е: . Това е check на модела, не доказателство, че бъдещи тегления са предсказуеми.",,,True
streamlit_app.py,1122,markdown,"\n            <div class=""rank-card"">\n              <div class=""model-title""> </div>\n              \n              <div class=""small-muted""></div>\n            </div>\n            ","\n <div class=""rank-card"">\n <div class=""model-title""> </div>\n \n <div class=""small-muted""></div>\n </div>\n ","\n            <div class=""rank-card"">\n              <div class=""model-title""> </div>\n              \n              <div class=""small-muted""></div>\n            </div>\n            ",,,True
streamlit_app.py,1550,markdown,"\n            <div class=""rank-card"">\n              <div class=""model-title""> </div>\n              \n              <div class=""small-muted"">: </div>\n            </div>\n            ","\n <div class=""rank-card"">\n <div class=""model-title""> </div>\n \n <div class=""small-muted"">: </div>\n </div>\n ","\n            <div class=""rank-card"">\n              <div class=""model-title""> </div>\n              \n              <div class=""small-muted"">: </div>\n            </div>\n            ",,,True
streamlit_app.py,2948,markdown,"\n            **Горещо** — число с по-силен честотен сигнал в историята.  \n            **Студено** — число под очакваната честота или с по-слаб честотен сигнал.  \n            **Интервал** — колко тиража са минали от последното излизане.  \n            **Отдавна не е излизало** — текущият gap е по-голям от обичайния интервал.  \n            **Балансирано** — близо до очакваната честота.  \n            **Моделна оценка** — моделна оценка за ранкинг, не процент шанс за джакпот.\n            ","\n **Горещо** — число с по-силен честотен сигнал в историята. \n **Студено** — число под очакваната честота или с по-слаб честотен сигнал. \n **Интервал** — колко тиража са минали от последното излизане. \n **Отдавна не е излизало** — текущият интервал е по-голям от обичайния интервал. \n **Балансирано** — близо до очакваната честота. \n **Моделна оценка** — моделна оценка за ранкинг, не процент шанс за джакпот.\n ","\n            **Горещо** — число с по-силен честотен сигнал в историята.  \n            **Студено** — число под очакваната честота или с по-слаб честотен сигнал.  \n            **Интервал** — колко drawа са минали от последното излизане.  \n            **Отдавна не е излизало** — текущият gap е по-голям от обичайния интервал.  \n            **Балансирано** — близо до очакваната честота.  \n            **Моделна оценка** — моделна оценка за ранкинг, не процент шанс за джакпот.\n            ",,,True
streamlit_app.py,3481,markdown,"\n            <div class=""v39-selected-row"">\n                <span class=""v39-selected-label"">:</span>\n                \n            </div>\n            ","\n <div class=""v39-selected-row"">\n <span class=""v39-selected-label"">:</span>\n \n </div>\n ","\n            <div class=""v39-selected-row"">\n                <span class=""v39-selected-label"">:</span>\n                \n            </div>\n            ",,,True
streamlit_app.py,661,expander,Виж последните тиражи визуално,Виж последните тиражи визуално,Виж последните draws визуално,,,True
streamlit_app.py,3255,markdown,"\n                <div class=""v39-combo-head"">\n                     \n                    <span class=""v39-combo-count""> · </span>\n                </div>\n                ","\n <div class=""v39-combo-head"">\n \n <span class=""v39-combo-count""> · </span>\n </div>\n ","\n                <div class=""v39-combo-head"">\n                     \n                    <span class=""v39-combo-count""> · </span>\n                </div>\n                ",,,True
streamlit_app.py,3278,markdown,"\n                <div class=""v39-selected-row"">\n                    <span class=""v39-selected-label"">:</span>\n                    \n                </div>\n                ","\n <div class=""v39-selected-row"">\n <span class=""v39-selected-label"">:</span>\n \n </div>\n ","\n                <div class=""v39-selected-row"">\n                    <span class=""v39-selected-label"">:</span>\n                    \n                </div>\n                ",,,True
streamlit_app.py,3513,markdown,**:**   \n**:**   \n**:** ,**:** \n**:** \n**:** ,**:**   \n**:**   \n**:** ,,,True
streamlit_app.py,3658,error,: ,: ,: ,,,True
streamlit_app.py,3689,warning,Историческият анализ не може да бъде показан в момента: ,Историческият анализ не може да бъде показан в момента: ,Историческият анализ не може да бъде показан в момента: ,,,True
streamlit_app.py,3701,warning,: ,: ,: ,,,True
streamlit_app.py,898,error,Грешка при зареждане на симулацията.,Грешка при зареждане на симулацията.,Грешка при зареждане на симулацията.,,,True
streamlit_app.py,2523,markdown,**:** ``,**:** ``,**:** ``,,,True
streamlit_app.py,666,caption,Реални числа,Реални числа,Реални numbers,,,True
streamlit_app.py,669,caption,Комбинация на разширения модел —  съвпадения,Комбинация на разширения модел — съвпадения,Комбинация на разширения модел —  съвпадения,,,True
streamlit_app.py,672,caption,Случайна комбинация —  съвпадения,Случайна комбинация — съвпадения,Случайна комбинация —  съвпадения,,,True
src/add_draws_section.py,178,success,Новият пакет за следващия тираж е готов. Последен въведен тираж: ; целеви тираж: .,Новият пакет за следващия тираж е готов. Последен въведен тираж: ; целеви тираж: .,Новият пакет за следващия draw е готов. Последен въведен draw: ; целеви draw: .,,,True
src/add_draws_section.py,183,metric,Фишове,Фишове,Фишове,,,True
src/add_draws_section.py,184,metric,Комбинации,Комбинации,Комбинации,,,True
src/add_draws_section.py,185,metric,Цена,Цена,Цена,,,True
src/add_draws_section.py,186,metric,Последни числа,Последни числа,Последни numbers,,,True
src/add_draws_section.py,196,button,Отвори готовия фиш пакет,Отвори готовия фиш пакет,Отвори готовия фиш пакет,,,True
src/add_draws_section.py,520,markdown,### Теглене ,### Теглене ,### Теглене ,,,True
src/add_draws_section.py,521,caption,"Въведи 6 основни числа в отделни клетки. Така се избягват грешки със запетаи, интервали и разместване.","Въведи 6 основни числа в отделни клетки. Така се избягват грешки със запетаи, интервали и разместване.","Въведи 6 основни numbers в отделни клетки. Така се избягват грешки със запетаи, интервали и разместване.",,,True
src/add_draws_section.py,585,selectbox,Допълнително число — теглене ,Допълнително число — теглене ,Допълнително число — теглене ,,,True
src/add_draws_section.py,595,title,Добавяне на тираж,Добавяне на тираж,Добавяне на draw,,,True
src/add_draws_section.py,596,caption,Записва един тираж с едно или две тегления. Всяко теглене има 6 основни числа и отделно допълнително число.,Записва един тираж с едно или две тегления. Всяко теглене има 6 основни числа и отделно допълнително число.,Записва един draw с едно или две тегления. Всяко теглене има 6 основни numbers и отделно допълнително число.,,,True
src/add_draws_section.py,598,checkbox,Автоматично обнови анализите след запис,Автоматично обнови анализите след запис,Автоматично обнови анализите след запис,,,True
src/add_draws_section.py,647,checkbox,Синхронизирай новите данни и модели в GitHub,Синхронизирай новите данни и модели в GitHub,Синхронизирай новите данни и модели в GitHub,,,True
src/add_draws_section.py,664,markdown,#### Контролиран ред при добавяне на тираж,#### Контролиран ред при добавяне на тираж,#### Контролиран ред при добавяне на draw,,,True
src/add_draws_section.py,681,markdown,#### Реален цикъл на нов тираж,#### Реален цикъл на нов тираж,#### Реален цикъл на нов draw,,,True
src/add_draws_section.py,684,metric,Състояние,Състояние,Състояние,,,True
src/add_draws_section.py,685,metric,Редове в данните,Редове в данните,Редове в dataset,,,True
src/add_draws_section.py,686,metric,Преди запис,Преди запис,Преди запис,,,True
src/add_draws_section.py,687,metric,План,План,План,,,True
src/add_draws_section.py,710,checkbox,Оцени текущия пакет преди запис на тиража,Оцени текущия пакет преди запис на тиража,Оцени текущия пакет преди запис на drawа,,,True
src/add_draws_section.py,720,checkbox,Провери активния бюджетен план преди запис на тиража,Провери активния бюджетен план преди запис на тиража,Провери активния бюджетен план преди запис на drawа,,,True
src/add_draws_section.py,730,checkbox,"Замени съществуващо теглене, ако вече го има","Замени съществуващо теглене, ако вече го има","Замени съществуващо теглене, ако вече го има",,,True
src/add_draws_section.py,736,markdown,---,---,---,,,True
src/add_draws_section.py,738,file_uploader,Качи файл,Качи файл,Качи файл,,,True
src/add_draws_section.py,758,markdown,---,---,---,,,True
src/add_draws_section.py,789,checkbox,Добави второ теглене към същия тираж,Добави второ теглене към същия тираж,Добави второ теглене към същия draw,,,True
src/add_draws_section.py,802,text_input,Източник / бележка,Източник / бележка,Източник / бележка,,,True
src/add_draws_section.py,808,button,Запази тиража,Запази тиража,Запази drawа,,,True
src/add_draws_section.py,172,warning,"Тиражът е записан, но готовият фиш пакет още не е намерен. Отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.","Тиражът е записан, но готовият фиш пакет още не е намерен. Отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.","Тиражът е записан, но готовият фиш пакет още не е намерен. Отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.",,,True
src/add_draws_section.py,609,selectbox,Режим на обновяване след запис,Режим на обновяване след запис,Режим на refresh след запис,,,True
src/add_draws_section.py,698,info,"Активният  е наличен: ,  комбинации,  EUR. Системата ще го провери със същите въведени числа преди запис.","Активният е наличен: , комбинации, EUR. Системата ще го провери със същите въведени числа преди запис.","Активният  е наличен: ,  combinations,  EUR. Системата ще го провери със същите въведени numbers преди запис.",,,True
src/add_draws_section.py,706,warning,"Няма активен бюджетен план. Проверката на активния план ще бъде пропусната, докато не се запази план от Бюджетния съветник.","Няма активен бюджетен план. Проверката на активния план ще бъде пропусната, докато не се запази план от Бюджетния съветник.","Няма активен бюджетен план. Проверката на активния план ще бъде пропусната, докато не се запази план от Бюджетния съветник.",,,True
src/add_draws_section.py,745,info,Файловият импорт очаква колони date/year/draw_no/draw_position/n1..n6/bonus_number.,Файловият импорт очаква колоните `date/year/draw_no/draw_position/n1..n6/bonus_number`.,Файловият импорт очаква колони date/year/draw_no/draw_position/n1..n6/bonus_number.,,,True
src/add_draws_section.py,746,button,Импортирай файла,Импортирай файла,Импортирай файла,,,True
src/add_draws_section.py,911,success,Записани са  тегления към тираж  / .,Записани са тегления към тираж / .,Записани са  тегления към draw  / .,,,True
src/add_draws_section.py,190,expander,Покажи първия готов фиш,Покажи първия готов фиш,Покажи първия готов фиш,,,True
src/add_draws_section.py,531,text_input,Число ,Число ,Число ,,,True
src/add_draws_section.py,571,caption,Попълнени са  от 6 основни числа.,Попълнени са от 6 основни числа.,Попълнени са  от 6 основни numbers.,,,True
src/add_draws_section.py,624,number_input,Максимално време за един скрипт,Максимално време за един скрипт,Максимално време за един скрипт,,,True
src/add_draws_section.py,634,caption,"Бързият режим пропуска v67 и v75, защото са тежки лабораторни процеси. Те остават налични за ръчно пускане от съответните контролни страници.","Бързият режим пропуска v67 и v75, защото са тежки лабораторни процеси. Те остават налични за ръчно пускане от съответните контролни страници.","Бързият режим пропуска v67 и v75, защото са тежки лабораторни процеси. Те остават налични за ръчно пускане от съответните контролни страници.",,,True
src/add_draws_section.py,639,warning,"Избран е тежък refresh режим. Използвай го ръчно, когато искаш пълно преизчисляване, а не като стандартен поток след всеки нов тираж.","Избран е тежък обновяване режим. Използвай го ръчно, когато искаш пълно преизчисляване, а не като стандартен поток след всеки нов тираж.","Избран е тежък refresh режим. Използвай го ръчно, когато искаш пълно преизчисляване, а не като стандартен поток след всеки нов draw.",,,True
src/add_draws_section.py,767,number_input,Година,Година,Година,,,True
src/add_draws_section.py,779,number_input,Номер на тираж,Номер на тираж,Номер на draw,,,True
src/add_draws_section.py,810,error,"Step 143.2 блокира автоматичната GitHub синхронизация преди запис. Изчисти посочения Git проблем или изключи GitHub отметката, за да запишеш само локално.","Етап 143.2 блокира автоматичната GitHub синхронизация преди запис. Изчисти посочения Git проблем или изключи GitHub отметката, за да запишеш само локално.","Step 143.2 блокира автоматичната GitHub synchronization преди запис. Изчисти посочения Git проблем или изключи GitHub отметката, за да запишеш само локално.",,,True
src/add_draws_section.py,831,info,Оценявам текущия пакет преди запис в данните.,Оценявам текущия пакет преди запис в данните.,Оценявам текущия пакет преди запис в dataset.,,,True
src/add_draws_section.py,858,info,Проверявам активния план срещу въведените числа преди запис в данните.,Проверявам активния план срещу въведените числа преди запис в данните.,Проверявам активния план срещу въведените numbers преди запис в dataset.,,,True
src/add_draws_section.py,931,warning,"Тиражът е записан, но автоматичното обновяване е изключено. Пусни обновяване или отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.","Тиражът е записан, но автоматичното обновяване е изключено. Пусни обновяване или отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.","Тиражът е записан, но автоматичното refresh е изключено. Пусни refresh или отвори 'Готов фиш пакет' и натисни 'Обнови пакета'.",,,True
src/add_draws_section.py,576,warning,Има повторено основно число. Провери клетките преди запис.,Има повторено основно число. Провери клетките преди запис.,Има повторено основно число. Провери клетките преди запис.,,,True
src/add_draws_section.py,754,success,Импортирани са  тегления.,Импортирани са тегления.,Импортирани са  тегления.,,,True
src/add_draws_section.py,756,warning,Не бяха намерени валидни редове за импорт.,Не бяха намерени валидни редове за импорт.,Не бяха намерени валидни редове за импорт.,,,True
src/add_draws_section.py,908,error,Грешка при запис в dataset-а: ,Грешка при запис в данните-а: ,Грешка при запис в dataset-а: ,,,True
src/add_draws_section.py,914,spinner,Обновяване на анализите в избрания режим...,Обновяване на анализите в избрания режим...,Обновяване на анализите в избрания режим...,,,True
src/add_draws_section.py,934,spinner,"Git запис, качване и потвърждение в GitHub по Step 143.2...","Git запис, качване и потвърждение в GitHub по Етап 143.2...","Git запис, качване и потвърждение в GitHub по Step 143.2...",,,True
src/add_draws_section.py,581,success,Основните числа са попълнени коректно.,Основните числа са попълнени коректно.,Основните numbers са попълнени коректно.,,,True
src/add_draws_section.py,750,error,Грешка при импорт: ,Грешка при импорт: ,Грешка при импорт: ,,,True
src/add_draws_section.py,844,success,Пакетът е проверен — теглене : най-добър фиш  с  попадения; пакетът покрива  от 6 числа.,Пакетът е проверен — теглене : най-добър фиш с попадения; пакетът покрива от 6 числа.,Пакетът е проверен — теглене : най-добър фиш  с  попадения; пакетът покрива  от 6 numbers.,,,True
src/add_draws_section.py,922,success,: OK,: OK,: OK,,,True
src/add_draws_section.py,924,warning,: проблем или липсващ файл,: проблем или липсващ файл,: проблем или липсващ файл,,,True
src/add_draws_section.py,851,error,"Оценката на пакета не успя. Тиражът не беше записан, за да не се наруши правилният процес преди обновяване: ","Оценката на пакета не успя. Тиражът не беше записан, за да не се наруши правилният процес преди обновяване: ","Оценката на пакета не успя. Тиражът не беше записан, за да не се наруши правилният процес преди refresh: ",,,True
src/add_draws_section.py,872,error,"Проверката на активния план не успя. Тиражът не беше записан, за да не се наруши редът преди обновяване: ","Проверката на активния план не успя. Тиражът не беше записан, за да не се наруши редът преди обновяване: ","Проверката на активния план не успя. Тиражът не беше записан, за да не се наруши редът преди refresh: ",,,True
src/add_draws_section.py,926,expander,Изход: ,Изход: ,Изход: ,,,True
src/bst_official_sync_section.py,26,title,БСТ официална синхронизация,БСТ официална синхронизация,БСТ официална synchronization,,,True
src/bst_official_sync_section.py,27,caption,Синхронизация на официалните резултати за Тото 2 — 6 от 49 към `data/prize_winner_history.csv` и journal export CSV.,Синхронизация на официалните резултати за Тото 2 — 6 от 49 към `data/prize_winner_history.csv` и дневник износ CSV.,Синхронизация на официалните resultи за Тото 2 — 6 от 49 към `data/prize_winner_history.csv` и journal export CSV.,,,True
src/bst_official_sync_section.py,32,info,"Тази страница не предсказва тиражи. Тя само чете официално публикувани БСТ резултати, прави проверка и записва липсващите БСТ записи.","Тази страница не предсказва тиражи. Тя само чете официално публикувани БСТ резултати, прави проверка и записва липсващите БСТ записи.","Тази страница не предсказва draws. Тя само чете официално публикувани БСТ resultи, прави check и записва липсващите БСТ записи.",,,True
src/bst_official_sync_section.py,37,markdown,### Локално състояние,### Локално състояние,### Локално състояние,,,True
src/bst_official_sync_section.py,51,markdown,### Официален източник,### Официален източник,### Официален източник,,,True
src/bst_official_sync_section.py,54,slider,Колко последни официални тиража да провери,Колко последни официални тиража да провери,Колко последни официални drawа да провери,,,True
src/bst_official_sync_section.py,55,checkbox,Обнови и вече съществуващи записи,Обнови и вече съществуващи записи,Обнови и вече съществуващи записи,,,True
src/bst_official_sync_section.py,101,markdown,"### Файлове, които се обновяват","### Файлове, които се обновяват","### Файлове, които се обновяват",,,True
src/bst_official_sync_section.py,40,warning,Няма локални записи в `data/prize_winner_history.csv`.,Няма локални записи в `data/prize_winner_history.csv`.,Няма локални записи в `data/prize_winner_history.csv`.,,,True
src/bst_official_sync_section.py,64,button,Провери БСТ без запис,Провери БСТ без запис,Провери БСТ без запис,,,True
src/bst_official_sync_section.py,74,button,Синхронизирай и запиши,Синхронизирай и запиши,Синхронизирай и запиши,,,True
src/bst_official_sync_section.py,114,expander,Последен sync summary,Последно обобщение на синхронизацията,Последен sync summary,,,True
src/bst_official_sync_section.py,118,expander,Последен sync checklist,Последен контролен списък за синхронизация,Последен sync checklist,,,True
src/bst_official_sync_section.py,65,spinner,Чета официалната БСТ страница...,Чета официалната БСТ страница...,Чета официалната БСТ страница...,,,True
src/bst_official_sync_section.py,75,spinner,"Чета БСТ, валидирам и записвам липсващите записи...","Чета БСТ, валидирам и записвам липсващите записи...","Чета БСТ, валидирам и записвам липсващите записи...",,,True
src/bst_official_sync_section.py,68,success,Проверката завърши.,Проверката завърши.,Проверката завърши.,,,True
src/bst_official_sync_section.py,82,success,"Готово: добавени , обновени , пропуснати , грешки .","Готово: добавени , обновени , пропуснати , грешки .","Готово: добавени , обновени , пропуснати , грешки .",,,True
src/bst_official_sync_section.py,122,warning,Checklist CSV не може да бъде прочетен.,Контролният CSV файл не може да бъде прочетен.,Checklist CSV не може да бъде прочетен.,,,True
src/bst_official_sync_section.py,71,error,Неуспешна проверка: ,Неуспешна проверка: ,Неуспешна check: ,,,True
src/bst_official_sync_section.py,87,markdown,#### Добавени записи,#### Добавени записи,#### Добавени записи,,,True
src/bst_official_sync_section.py,91,markdown,#### Обновени записи,#### Обновени записи,#### Обновени записи,,,True
src/bst_official_sync_section.py,95,markdown,#### Грешки при четене,#### Грешки при четене,#### Грешки при четене,,,True
src/bst_official_sync_section.py,99,error,Неуспешна синхронизация: ,Неуспешна синхронизация: ,Неуспешна synchronization: ,,,True
src/post_bst_model_data_refresh_section.py,20,title,Обновяване на моделни данни,Обновяване на моделни данни,Обновяване на моделни данни,,,True
src/post_bst_model_data_refresh_section.py,21,caption,"Step 120 — синхронизира официалната БСТ prize history към historical/canonical dataset слоя, за да работят анализите върху последните официални тиражи.","синхронизира официалната БСТ историята на печалбите към историческия/каноничния слоя с данни, за да работят анализите върху последните официални тиражи.","Step 120 — синхронизира официалната БСТ prize history към historical/canonical dataset слоя, за да работят анализите върху последните официални draws.",,,True
src/post_bst_model_data_refresh_section.py,26,info,Тази стъпка НЕ retrain-ва тежките ML модели автоматично. Тя обновява dataset слоя. Пълното retraining решение остава ръчно и осъзнато.,Тази стъпка НЕ преобучава тежките ML модели автоматично. Тя обновява слоя с данни. Пълното преобучение решение остава ръчно и осъзнато.,Тази стъпка НЕ retrain-ва тежките ML модели автоматично. Тя обновява dataset слоя. Пълното retraining решение остава ръчно и осъзнато.,,,True
src/post_bst_model_data_refresh_section.py,33,markdown,### Текущ статус,### Текущ статус,### Текущ status,,,True
src/post_bst_model_data_refresh_section.py,35,metric,Статус,Статус,Статус,,,True
src/post_bst_model_data_refresh_section.py,36,metric,БСТ prize latest,Последни данни за печалбите от БСТ,БСТ prize latest,,,True
src/post_bst_model_data_refresh_section.py,37,metric,Historical latest,исторически последен,Historical latest,,,True
src/post_bst_model_data_refresh_section.py,38,metric,Canonical latest,каноничен последен,Canonical latest,,,True
src/post_bst_model_data_refresh_section.py,40,markdown,### Липсващи записи по dataset,### Липсващи записи по данните,### Липсващи записи по dataset,,,True
src/post_bst_model_data_refresh_section.py,42,tabs,historical_draws,Исторически тиражи,historical_draws,,,True
src/post_bst_model_data_refresh_section.py,42,tabs,v40_normalized,Нормализирани данни,v40_normalized,,,True
src/post_bst_model_data_refresh_section.py,42,tabs,v41_canonical,Канонични данни,v41_canonical,,,True
src/post_bst_model_data_refresh_section.py,56,markdown,### Действие,### Действие,### Действие,,,True
src/post_bst_model_data_refresh_section.py,57,button,Обнови моделните данни от БСТ prize history,Обнови моделните данни от БСТ историята на печалбите,Обнови моделните данни от БСТ prize history,,,True
src/post_bst_model_data_refresh_section.py,76,markdown,### Отчети,### Отчети,### Отчети,,,True
src/post_bst_model_data_refresh_section.py,46,success,Няма липсващи записи.,Няма липсващи записи.,Няма липсващи записи.,,,True
src/post_bst_model_data_refresh_section.py,50,success,Няма липсващи записи.,Няма липсващи записи.,Няма липсващи записи.,,,True
src/post_bst_model_data_refresh_section.py,54,success,Няма липсващи записи.,Няма липсващи записи.,Няма липсващи записи.,,,True
src/post_bst_model_data_refresh_section.py,58,spinner,Синхронизирам historical/v40/v41 dataset слоя...,Синхронизирам исторически/v40/v41 слоя с данни...,Синхронизирам historical/v40/v41 dataset слоя...,,,True
src/post_bst_model_data_refresh_section.py,78,expander,Step 120 summary,Обобщение на обновяването на данните,Step 120 summary,,,True
src/post_bst_model_data_refresh_section.py,82,expander,Step 120 checklist,Контролен списък за обновяването на данните,Step 120 checklist,,,True
src/post_bst_model_data_refresh_section.py,62,success,Готово. Финален статус: ,Готово. Финален статус: ,Готово. Финален status: ,,,True
src/post_bst_model_data_refresh_section.py,72,warning,ML retraining не е изпълнен автоматично. Това е само dataset refresh.,преобучение на моделите не е изпълнен автоматично. Това е само обновяване на данните.,ML retraining не е изпълнен автоматично. Това е само dataset refresh.,,,True
src/post_bst_model_data_refresh_section.py,74,error,Неуспешно обновяване: ,Неуспешно обновяване: ,Неуспешно refresh: ,,,True
src/post_bst_model_data_refresh_section.py,86,warning,Checklist CSV не може да бъде прочетен.,Контролният CSV файл не може да бъде прочетен.,Checklist CSV не може да бъде прочетен.,,,True
src/probability_lab_section.py,268,markdown,"\n        <div class=""model-card"">\n            <div class=""model-title""></div>\n            <div class=""model-text""></div>\n            \n        </div>\n        ","\n <div class=""model-card"">\n <div class=""model-title""></div>\n <div class=""model-text""></div>\n \n </div>\n ","\n        <div class=""model-card"">\n            <div class=""model-title""></div>\n            <div class=""model-text""></div>\n            \n        </div>\n        ",,,True
src/probability_lab_section.py,370,markdown,"\n        <div class=""prob-hero"">\n            <h1></h1>\n            <p></p>\n        </div>\n        ","\n <div class=""prob-hero"">\n <h1></h1>\n <p></p>\n </div>\n ","\n        <div class=""prob-hero"">\n            <h1></h1>\n            <p></p>\n        </div>\n        ",,,True
src/probability_lab_section.py,380,markdown,"<div class=""prob-warning""></div>","<div class=""prob-warning""></div>","<div class=""prob-warning""></div>",,,True
src/probability_lab_section.py,460,markdown,"\n                <div class=""combo-card"">\n                    <div class=""combo-title""> </div>\n                    <div class=""combo-numbers""></div>\n                </div>\n                ","\n <div class=""combo-card"">\n <div class=""combo-title""> </div>\n <div class=""combo-numbers""></div>\n </div>\n ","\n                <div class=""combo-card"">\n                    <div class=""combo-title""> </div>\n                    <div class=""combo-numbers""></div>\n                </div>\n                ",,,True
src/r_statistical_features_integration_section.py,26,title,R feature интеграция,Интеграция на R характеристики,R feature интеграция,,,True
