"pair_a","pair_b","pair","frequency"
5,9,"5-9",144
6,38,"6-38",144
8,42,"8-42",144
9,28,"9-28",144
1,27,"1-27",143
1,36,"1-36",143
11,21,"11-21",143
12,18,"12-18",143
15,22,"15-22",143
2,34,"2-34",143
20,35,"20-35",143
21,44,"21-44",143
22,25,"22-25",143
24,49,"24-49",143
28,46,"28-46",143
38,42,"38-42",143
4,9,"4-9",143
6,7,"6-7",143
9,20,"9-20",143
10,20,"10-20",142
10,33,"10-33",142
12,34,"12-34",142
12,36,"12-36",142
12,37,"12-37",142
13,25,"13-25",142
14,34,"14-34",142
16,34,"16-34",142
17,47,"17-47",142
17,49,"17-49",142
20,39,"20-39",142
24,25,"24-25",142
28,48,"28-48",142
29,30,"29-30",142
3,34,"3-34",142
33,49,"33-49",142
34,40,"34-40",142
34,42,"34-42",142
34,48,"34-48",142
38,48,"38-48",142
4,45,"4-45",142
42,48,"42-48",142
43,46,"43-46",142
6,35,"6-35",142
6,37,"6-37",142
9,17,"9-17",142
1,16,"1-16",141
1,17,"1-17",141
11,13,"11-13",141
11,30,"11-30",141
11,36,"11-36",141
11,38,"11-38",141
17,20,"17-20",141
18,23,"18-23",141
2,7,"2-7",141
21,39,"21-39",141
22,38,"22-38",141
24,31,"24-31",141
3,14,"3-14",141
32,44,"32-44",141
35,44,"35-44",141
38,45,"38-45",141
4,48,"4-48",141
42,47,"42-47",141
43,49,"43-49",141
45,48,"45-48",141
5,22,"5-22",141
5,30,"5-30",141
7,48,"7-48",141
8,45,"8-45",141
9,35,"9-35",141
1,24,"1-24",140
1,34,"1-34",140
1,35,"1-35",140
1,37,"1-37",140
1,43,"1-43",140
1,6,"1-6",140
12,22,"12-22",140
13,14,"13-14",140
15,35,"15-35",140
16,32,"16-32",140
16,37,"16-37",140
16,38,"16-38",140
17,21,"17-21",140
17,30,"17-30",140
17,42,"17-42",140
19,32,"19-32",140
19,49,"19-49",140
2,19,"2-19",140
21,23,"21-23",140
21,33,"21-33",140
22,28,"22-28",140
22,42,"22-42",140
24,43,"24-43",140
26,34,"26-34",140
26,47,"26-47",140
44,48,"44-48",140
45,49,"45-49",140
6,24,"6-24",140
7,12,"7-12",140
7,35,"7-35",140
7,45,"7-45",140
8,30,"8-30",140
8,33,"8-33",140
9,31,"9-31",140
9,34,"9-34",140
1,28,"1-28",139
11,15,"11-15",139
12,20,"12-20",139
17,32,"17-32",139
17,44,"17-44",139
2,39,"2-39",139
21,30,"21-30",139
21,42,"21-42",139
24,27,"24-27",139
24,33,"24-33",139
25,34,"25-34",139
27,28,"27-28",139
28,44,"28-44",139
29,47,"29-47",139
29,48,"29-48",139
3,31,"3-31",139
33,46,"33-46",139
38,43,"38-43",139
4,46,"4-46",139
6,49,"6-49",139
9,12,"9-12",139
9,25,"9-25",139
12,30,"12-30",138
12,33,"12-33",138
14,20,"14-20",138
15,40,"15-40",138
16,44,"16-44",138
16,45,"16-45",138
18,27,"18-27",138
19,36,"19-36",138
20,33,"20-33",138
20,48,"20-48",138
21,41,"21-41",138
24,37,"24-37",138
24,42,"24-42",138
25,39,"25-39",138
25,42,"25-42",138
29,34,"29-34",138
30,36,"30-36",138
31,48,"31-48",138
33,44,"33-44",138
35,41,"35-41",138
36,46,"36-46",138
39,48,"39-48",138
4,13,"4-13",138
42,44,"42-44",138
43,44,"43-44",138
5,16,"5-16",138
6,12,"6-12",138
6,33,"6-33",138
8,18,"8-18",138
10,16,"10-16",137
10,46,"10-46",137
11,33,"11-33",137
11,45,"11-45",137
11,48,"11-48",137
14,23,"14-23",137
14,26,"14-26",137
15,34,"15-34",137
16,49,"16-49",137
17,37,"17-37",137
17,46,"17-46",137
18,34,"18-34",137
20,49,"20-49",137
22,49,"22-49",137
23,42,"23-42",137
26,37,"26-37",137
29,42,"29-42",137
30,33,"30-33",137
36,42,"36-42",137
37,48,"37-48",137
39,43,"39-43",137
39,49,"39-49",137
4,15,"4-15",137
4,28,"4-28",137
5,27,"5-27",137
5,45,"5-45",137
6,40,"6-40",137
8,34,"8-34",137
8,38,"8-38",137
9,38,"9-38",137
1,29,"1-29",136
10,35,"10-35",136
10,44,"10-44",136
10,49,"10-49",136
11,26,"11-26",136
11,37,"11-37",136
12,17,"12-17",136
14,44,"14-44",136
15,26,"15-26",136
2,22,"2-22",136
2,42,"2-42",136
20,25,"20-25",136
21,22,"21-22",136
21,47,"21-47",136
22,26,"22-26",136
22,36,"22-36",136
22,37,"22-37",136
22,44,"22-44",136
23,28,"23-28",136
25,29,"25-29",136
25,38,"25-38",136
26,28,"26-28",136
28,29,"28-29",136
29,37,"29-37",136
32,39,"32-39",136
33,47,"33-47",136
4,19,"4-19",136
4,20,"4-20",136
4,8,"4-8",136
42,49,"42-49",136
45,46,"45-46",136
47,48,"47-48",136
5,20,"5-20",136
6,11,"6-11",136
6,13,"6-13",136
6,8,"6-8",136
7,14,"7-14",136
8,25,"8-25",136
10,48,"10-48",135
12,21,"12-21",135
13,23,"13-23",135
13,46,"13-46",135
14,31,"14-31",135
14,36,"14-36",135
15,36,"15-36",135
18,21,"18-21",135
19,27,"19-27",135
2,29,"2-29",135
2,40,"2-40",135
20,38,"20-38",135
21,38,"21-38",135
23,34,"23-34",135
23,45,"23-45",135
25,45,"25-45",135
27,36,"27-36",135
28,35,"28-35",135
28,49,"28-49",135
3,4,"3-4",135
30,46,"30-46",135
30,48,"30-48",135
32,37,"32-37",135
34,49,"34-49",135
39,45,"39-45",135
4,16,"4-16",135
4,21,"4-21",135
43,48,"43-48",135
46,48,"46-48",135
6,46,"6-46",135
7,34,"7-34",135
7,49,"7-49",135
8,46,"8-46",135
9,14,"9-14",135
9,22,"9-22",135
1,33,"1-33",134
11,43,"11-43",134
11,49,"11-49",134
12,27,"12-27",134
12,31,"12-31",134
12,43,"12-43",134
13,17,"13-17",134
13,42,"13-42",134
14,48,"14-48",134
17,24,"17-24",134
17,34,"17-34",134
18,31,"18-31",134
19,23,"19-23",134
2,25,"2-25",134
2,9,"2-9",134
20,28,"20-28",134
20,44,"20-44",134
22,46,"22-46",134
24,34,"24-34",134
26,32,"26-32",134
27,49,"27-49",134
28,42,"28-42",134
29,35,"29-35",134
3,15,"3-15",134
3,28,"3-28",134
3,44,"3-44",134
33,39,"33-39",134
38,40,"38-40",134
39,46,"39-46",134
41,45,"41-45",134
44,47,"44-47",134
5,48,"5-48",134
7,8,"7-8",134
8,14,"8-14",134
8,28,"8-28",134
8,39,"8-39",134
8,48,"8-48",134
9,36,"9-36",134
1,25,"1-25",133
1,8,"1-8",133
10,21,"10-21",133
10,47,"10-47",133
11,27,"11-27",133
12,15,"12-15",133
12,26,"12-26",133
12,48,"12-48",133
12,49,"12-49",133
13,16,"13-16",133
13,36,"13-36",133
14,21,"14-21",133
14,35,"14-35",133
15,17,"15-17",133
15,25,"15-25",133
17,31,"17-31",133
18,46,"18-46",133
19,33,"19-33",133
2,31,"2-31",133
20,29,"20-29",133
23,27,"23-27",133
25,33,"25-33",133
27,44,"27-44",133
28,37,"28-37",133
29,38,"29-38",133
3,26,"3-26",133
32,36,"32-36",133
34,37,"34-37",133
35,40,"35-40",133
41,43,"41-43",133
48,49,"48-49",133
5,34,"5-34",133
5,37,"5-37",133
5,7,"5-7",133
6,21,"6-21",133
7,10,"7-10",133
7,30,"7-30",133
8,35,"8-35",133
8,41,"8-41",133
9,19,"9-19",133
9,29,"9-29",133
9,46,"9-46",133
1,46,"1-46",132
1,7,"1-7",132
12,29,"12-29",132
12,35,"12-35",132
13,32,"13-32",132
13,35,"13-35",132
15,28,"15-28",132
15,45,"15-45",132
17,19,"17-19",132
17,22,"17-22",132
17,48,"17-48",132
18,36,"18-36",132
19,44,"19-44",132
2,12,"2-12",132
21,28,"21-28",132
22,32,"22-32",132
24,48,"24-48",132
25,26,"25-26",132
25,44,"25-44",132
26,40,"26-40",132
26,46,"26-46",132
29,36,"29-36",132
29,40,"29-40",132
29,44,"29-44",132
30,43,"30-43",132
31,34,"31-34",132
32,38,"32-38",132
33,43,"33-43",132
36,45,"36-45",132
39,40,"39-40",132
4,38,"4-38",132
6,19,"6-19",132
6,29,"6-29",132
6,47,"6-47",132
7,44,"7-44",132
8,22,"8-22",132
9,10,"9-10",132
9,11,"9-11",132
9,13,"9-13",132
9,30,"9-30",132
1,48,"1-48",131
10,39,"10-39",131
12,14,"12-14",131
14,19,"14-19",131
15,39,"15-39",131
16,30,"16-30",131
17,40,"17-40",131
2,30,"2-30",131
2,38,"2-38",131
20,45,"20-45",131
21,24,"21-24",131
22,31,"22-31",131
24,28,"24-28",131
24,46,"24-46",131
26,30,"26-30",131
27,31,"27-31",131
27,47,"27-47",131
3,35,"3-35",131
3,9,"3-9",131
31,41,"31-41",131
31,44,"31-44",131
32,41,"32-41",131
33,42,"33-42",131
37,46,"37-46",131
4,27,"4-27",131
4,30,"4-30",131
4,34,"4-34",131
4,40,"4-40",131
4,5,"4-5",131
5,15,"5-15",131
5,29,"5-29",131
5,36,"5-36",131
5,44,"5-44",131
6,17,"6-17",131
6,18,"6-18",131
6,39,"6-39",131
7,13,"7-13",131
7,20,"7-20",131
7,24,"7-24",131
1,10,"1-10",130
1,14,"1-14",130
1,15,"1-15",130
10,45,"10-45",130
12,38,"12-38",130
13,29,"13-29",130
13,43,"13-43",130
13,45,"13-45",130
14,28,"14-28",130
15,18,"15-18",130
15,21,"15-21",130
17,23,"17-23",130
19,40,"19-40",130
2,11,"2-11",130
2,44,"2-44",130
20,21,"20-21",130
20,32,"20-32",130
20,37,"20-37",130
22,47,"22-47",130
26,31,"26-31",130
26,38,"26-38",130
27,37,"27-37",130
27,39,"27-39",130
28,30,"28-30",130
28,32,"28-32",130
3,11,"3-11",130
3,37,"3-37",130
30,37,"30-37",130
30,44,"30-44",130
32,43,"32-43",130
32,47,"32-47",130
34,36,"34-36",130
34,46,"34-46",130
35,48,"35-48",130
39,41,"39-41",130
4,33,"4-33",130
40,49,"40-49",130
44,46,"44-46",130
5,6,"5-6",130
6,16,"6-16",130
6,44,"6-44",130
7,17,"7-17",130
7,9,"7-9",130
8,16,"8-16",130
8,17,"8-17",130
9,15,"9-15",130
9,24,"9-24",130
1,39,"1-39",129
10,28,"10-28",129
10,32,"10-32",129
11,22,"11-22",129
11,42,"11-42",129
12,24,"12-24",129
13,20,"13-20",129
13,28,"13-28",129
14,42,"14-42",129
15,27,"15-27",129
15,38,"15-38",129
15,47,"15-47",129
16,17,"16-17",129
18,48,"18-48",129
2,16,"2-16",129
2,35,"2-35",129
20,22,"20-22",129
20,26,"20-26",129
20,27,"20-27",129
20,46,"20-46",129
24,29,"24-29",129
28,34,"28-34",129
29,31,"29-31",129
29,46,"29-46",129
3,13,"3-13",129
3,23,"3-23",129
3,33,"3-33",129
3,42,"3-42",129
3,8,"3-8",129
31,45,"31-45",129
32,45,"32-45",129
38,49,"38-49",129
42,43,"42-43",129
5,10,"5-10",129
5,24,"5-24",129
7,33,"7-33",129
7,46,"7-46",129
8,24,"8-24",129
1,32,"1-32",128
1,42,"1-42",128
1,47,"1-47",128
10,15,"10-15",128
10,25,"10-25",128
12,16,"12-16",128
12,39,"12-39",128
12,46,"12-46",128
12,47,"12-47",128
14,27,"14-27",128
16,18,"16-18",128
17,38,"17-38",128
19,25,"19-25",128
19,39,"19-39",128
2,23,"2-23",128
2,8,"2-8",128
20,31,"20-31",128
21,25,"21-25",128
22,30,"22-30",128
22,34,"22-34",128
26,33,"26-33",128
26,35,"26-35",128
27,35,"27-35",128
27,38,"27-38",128
29,39,"29-39",128
3,45,"3-45",128
3,48,"3-48",128
35,36,"35-36",128
35,42,"35-42",128
35,43,"35-43",128
47,49,"47-49",128
7,21,"7-21",128
8,10,"8-10",128
8,21,"8-21",128
8,9,"8-9",128
1,4,"1-4",127
10,41,"10-41",127
10,43,"10-43",127
11,12,"11-12",127
11,41,"11-41",127
13,47,"13-47",127
14,46,"14-46",127
15,37,"15-37",127
17,28,"17-28",127
18,26,"18-26",127
18,28,"18-28",127
18,38,"18-38",127
18,41,"18-41",127
19,34,"19-34",127
2,21,"2-21",127
2,3,"2-3",127
2,45,"2-45",127
20,30,"20-30",127
20,43,"20-43",127
21,29,"21-29",127
21,40,"21-40",127
21,45,"21-45",127
23,26,"23-26",127
24,45,"24-45",127
26,27,"26-27",127
28,36,"28-36",127
3,12,"3-12",127
3,6,"3-6",127
30,49,"30-49",127
33,41,"33-41",127
36,47,"36-47",127
4,43,"4-43",127
40,41,"40-41",127
40,44,"40-44",127
41,46,"41-46",127
44,45,"44-45",127
5,26,"5-26",127
6,14,"6-14",127
6,27,"6-27",127
7,25,"7-25",127
8,12,"8-12",127
8,47,"8-47",127
10,11,"10-11",126
11,47,"11-47",126
13,15,"13-15",126
13,27,"13-27",126
13,41,"13-41",126
15,30,"15-30",126
15,31,"15-31",126
16,19,"16-19",126
16,25,"16-25",126
18,44,"18-44",126
19,42,"19-42",126
2,49,"2-49",126
22,41,"22-41",126
26,44,"26-44",126
29,41,"29-41",126
3,29,"3-29",126
34,47,"34-47",126
4,31,"4-31",126
42,46,"42-46",126
43,47,"43-47",126
5,17,"5-17",126
5,43,"5-43",126
6,34,"6-34",126
7,28,"7-28",126
8,13,"8-13",126
8,15,"8-15",126
8,20,"8-20",126
8,32,"8-32",126
8,36,"8-36",126
9,26,"9-26",126
9,37,"9-37",126
9,47,"9-47",126
10,17,"10-17",125
11,25,"11-25",125
11,28,"11-28",125
11,40,"11-40",125
12,23,"12-23",125
13,18,"13-18",125
13,21,"13-21",125
14,32,"14-32",125
15,23,"15-23",125
16,33,"16-33",125
18,30,"18-30",125
19,28,"19-28",125
2,14,"2-14",125
2,28,"2-28",125
20,34,"20-34",125
22,33,"22-33",125
23,29,"23-29",125
23,40,"23-40",125
23,48,"23-48",125
25,43,"25-43",125
25,46,"25-46",125
26,39,"26-39",125
26,42,"26-42",125
27,29,"27-29",125
29,45,"29-45",125
31,35,"31-35",125
35,46,"35-46",125
37,38,"37-38",125
37,42,"37-42",125
39,47,"39-47",125
6,10,"6-10",125
9,16,"9-16",125
9,42,"9-42",125
1,13,"1-13",124
1,45,"1-45",124
10,22,"10-22",124
10,24,"10-24",124
10,26,"10-26",124
11,18,"11-18",124
11,39,"11-39",124
13,33,"13-33",124
14,40,"14-40",124
15,43,"15-43",124
16,29,"16-29",124
2,6,"2-6",124
23,25,"23-25",124
25,27,"25-27",124
25,32,"25-32",124
25,36,"25-36",124
26,45,"26-45",124
3,19,"3-19",124
3,5,"3-5",124
30,38,"30-38",124
31,46,"31-46",124
32,33,"32-33",124
32,34,"32-34",124
34,35,"34-35",124
34,43,"34-43",124
36,41,"36-41",124
36,49,"36-49",124
4,29,"4-29",124
4,49,"4-49",124
46,47,"46-47",124
5,21,"5-21",124
5,25,"5-25",124
5,40,"5-40",124
6,15,"6-15",124
6,31,"6-31",124
6,32,"6-32",124
7,39,"7-39",124
8,49,"8-49",124
9,33,"9-33",124
9,48,"9-48",124
1,2,"1-2",123
1,3,"1-3",123
1,38,"1-38",123
1,40,"1-40",123
15,24,"15-24",123
18,35,"18-35",123
18,43,"18-43",123
18,47,"18-47",123
19,29,"19-29",123
19,38,"19-38",123
2,32,"2-32",123
20,40,"20-40",123
21,26,"21-26",123
22,39,"22-39",123
23,24,"23-24",123
23,38,"23-38",123
24,44,"24-44",123
26,41,"26-41",123
26,48,"26-48",123
3,10,"3-10",123
30,32,"30-32",123
30,45,"30-45",123
33,48,"33-48",123
38,39,"38-39",123
39,42,"39-42",123
5,11,"5-11",123
5,12,"5-12",123
6,25,"6-25",123
7,23,"7-23",123
7,36,"7-36",123
7,43,"7-43",123
9,40,"9-40",123
9,45,"9-45",123
1,12,"1-12",122
10,27,"10-27",122
10,37,"10-37",122
13,19,"13-19",122
13,24,"13-24",122
13,44,"13-44",122
16,27,"16-27",122
16,28,"16-28",122
16,35,"16-35",122
16,36,"16-36",122
16,46,"16-46",122
18,29,"18-29",122
2,18,"2-18",122
20,36,"20-36",122
23,47,"23-47",122
25,47,"25-47",122
26,49,"26-49",122
27,41,"27-41",122
27,45,"27-45",122
3,47,"3-47",122
30,39,"30-39",122
30,47,"30-47",122
31,39,"31-39",122
33,34,"33-34",122
36,43,"36-43",122
37,40,"37-40",122
38,47,"38-47",122
4,35,"4-35",122
41,44,"41-44",122
45,47,"45-47",122
5,42,"5-42",122
5,49,"5-49",122
6,26,"6-26",122
7,15,"7-15",122
7,47,"7-47",122
9,18,"9-18",122
9,44,"9-44",122
1,18,"1-18",121
1,49,"1-49",121
11,16,"11-16",121
11,19,"11-19",121
11,23,"11-23",121
14,17,"14-17",121
14,47,"14-47",121
16,31,"16-31",121
16,43,"16-43",121
16,47,"16-47",121
18,32,"18-32",121
19,37,"19-37",121
2,10,"2-10",121
20,42,"20-42",121
21,27,"21-27",121
24,39,"24-39",121
25,31,"25-31",121
25,37,"25-37",121
27,34,"27-34",121
3,43,"3-43",121
32,48,"32-48",121
35,39,"35-39",121
40,45,"40-45",121
40,47,"40-47",121
1,26,"1-26",120
10,14,"10-14",120
10,18,"10-18",120
10,29,"10-29",120
13,37,"13-37",120
13,39,"13-39",120
14,18,"14-18",120
14,25,"14-25",120
15,48,"15-48",120
17,41,"17-41",120
18,42,"18-42",120
18,45,"18-45",120
19,45,"19-45",120
2,4,"2-4",120
20,23,"20-23",120
22,27,"22-27",120
23,30,"23-30",120
24,41,"24-41",120
25,49,"25-49",120
26,43,"26-43",120
27,46,"27-46",120
3,32,"3-32",120
31,36,"31-36",120
31,37,"31-37",120
31,38,"31-38",120
31,43,"31-43",120
32,35,"32-35",120
33,45,"33-45",120
34,41,"34-41",120
35,49,"35-49",120
41,47,"41-47",120
5,13,"5-13",120
6,36,"6-36",120
6,9,"6-9",120
7,27,"7-27",120
7,41,"7-41",120
8,26,"8-26",120
1,44,"1-44",119
10,13,"10-13",119
11,20,"11-20",119
12,45,"12-45",119
15,44,"15-44",119
18,39,"18-39",119
2,46,"2-46",119
2,5,"2-5",119
20,24,"20-24",119
22,35,"22-35",119
22,40,"22-40",119
28,33,"28-33",119
28,47,"28-47",119
3,36,"3-36",119
3,49,"3-49",119
31,40,"31-40",119
35,45,"35-45",119
36,39,"36-39",119
37,43,"37-43",119
37,45,"37-45",119
4,26,"4-26",119
4,32,"4-32",119
40,48,"40-48",119
41,42,"41-42",119
5,33,"5-33",119
7,22,"7-22",119
7,37,"7-37",119
7,38,"7-38",119
7,40,"7-40",119
8,11,"8-11",119
10,30,"10-30",118
11,14,"11-14",118
12,25,"12-25",118
12,40,"12-40",118
13,38,"13-38",118
14,24,"14-24",118
14,30,"14-30",118
15,19,"15-19",118
15,41,"15-41",118
16,40,"16-40",118
16,42,"16-42",118
17,27,"17-27",118
17,45,"17-45",118
18,40,"18-40",118
19,26,"19-26",118
2,15,"2-15",118
2,20,"2-20",118
22,43,"22-43",118
23,33,"23-33",118
23,44,"23-44",118
23,46,"23-46",118
23,49,"23-49",118
27,42,"27-42",118
3,20,"3-20",118
31,32,"31-32",118
36,38,"36-38",118
37,39,"37-39",118
4,23,"4-23",118
4,7,"4-7",118
5,19,"5-19",118
5,47,"5-47",118
5,8,"5-8",118
7,11,"7-11",118
7,32,"7-32",118
8,19,"8-19",118
8,31,"8-31",118
10,36,"10-36",117
13,30,"13-30",117
13,48,"13-48",117
15,20,"15-20",117
15,29,"15-29",117
16,21,"16-21",117
16,23,"16-23",117
17,43,"17-43",117
2,27,"2-27",117
2,33,"2-33",117
23,35,"23-35",117
24,35,"24-35",117
24,40,"24-40",117
3,17,"3-17",117
3,30,"3-30",117
30,35,"30-35",117
4,36,"4-36",117
4,39,"4-39",117
1,19,"1-19",116
1,41,"1-41",116
10,40,"10-40",116
10,42,"10-42",116
14,38,"14-38",116
15,16,"15-16",116
16,39,"16-39",116
19,43,"19-43",116
21,43,"21-43",116
25,41,"25-41",116
27,30,"27-30",116
27,33,"27-33",116
28,31,"28-31",116
28,38,"28-38",116
31,47,"31-47",116
31,49,"31-49",116
32,49,"32-49",116
4,41,"4-41",116
5,14,"5-14",116
7,16,"7-16",116
8,43,"8-43",116
10,23,"10-23",115
12,28,"12-28",115
12,32,"12-32",115
12,41,"12-41",115
17,36,"17-36",115
19,22,"19-22",115
19,35,"19-35",115
19,41,"19-41",115
19,46,"19-46",115
19,47,"19-47",115
19,48,"19-48",115
21,35,"21-35",115
23,39,"23-39",115
25,30,"25-30",115
28,41,"28-41",115
29,33,"29-33",115
3,18,"3-18",115
3,21,"3-21",115
3,22,"3-22",115
3,39,"3-39",115
3,7,"3-7",115
30,31,"30-31",115
35,38,"35-38",115
38,41,"38-41",115
40,42,"40-42",115
5,39,"5-39",115
7,29,"7-29",115
9,49,"9-49",115
10,19,"10-19",114
13,22,"13-22",114
14,22,"14-22",114
14,37,"14-37",114
16,41,"16-41",114
25,35,"25-35",114
27,43,"27-43",114
30,41,"30-41",114
31,33,"31-33",114
32,46,"32-46",114
33,36,"33-36",114
41,48,"41-48",114
42,45,"42-45",114
6,20,"6-20",114
7,31,"7-31",114
9,23,"9-23",114
9,41,"9-41",114
1,31,"1-31",113
14,16,"14-16",113
16,20,"16-20",113
16,48,"16-48",113
17,29,"17-29",113
18,25,"18-25",113
19,30,"19-30",113
2,43,"2-43",113
22,45,"22-45",113
23,41,"23-41",113
28,39,"28-39",113
29,49,"29-49",113
3,38,"3-38",113
34,39,"34-39",113
40,43,"40-43",113
6,23,"6-23",113
6,28,"6-28",113
6,43,"6-43",113
9,32,"9-32",113
9,39,"9-39",113
10,12,"10-12",112
10,38,"10-38",112
11,31,"11-31",112
14,41,"14-41",112
18,37,"18-37",112
2,41,"2-41",112
23,36,"23-36",112
23,37,"23-37",112
3,40,"3-40",112
30,40,"30-40",112
33,35,"33-35",112
5,23,"5-23",112
5,38,"5-38",112
5,41,"5-41",112
7,42,"7-42",112
10,31,"10-31",111
10,34,"10-34",111
13,26,"13-26",111
14,43,"14-43",111
14,45,"14-45",111
17,39,"17-39",111
19,24,"19-24",111
2,36,"2-36",111
2,48,"2-48",111
25,40,"25-40",111
3,25,"3-25",111
6,41,"6-41",111
1,23,"1-23",110
12,13,"12-13",110
13,49,"13-49",110
18,24,"18-24",110
18,33,"18-33",110
24,32,"24-32",110
27,40,"27-40",110
3,27,"3-27",110
3,41,"3-41",110
34,45,"34-45",110
5,31,"5-31",110
13,31,"13-31",109
16,26,"16-26",109
19,20,"19-20",109
2,26,"2-26",109
20,47,"20-47",109
21,31,"21-31",109
23,43,"23-43",109
32,40,"32-40",109
33,40,"33-40",109
36,40,"36-40",109
38,46,"38-46",109
9,27,"9-27",109
1,20,"1-20",108
18,19,"18-19",108
24,36,"24-36",108
26,36,"26-36",108
32,42,"32-42",108
33,38,"33-38",108
36,44,"36-44",108
4,14,"4-14",108
4,18,"4-18",108
40,46,"40-46",108
8,40,"8-40",108
14,15,"14-15",107
15,46,"15-46",107
22,23,"22-23",107
24,26,"24-26",107
27,48,"27-48",107
31,42,"31-42",107
5,32,"5-32",107
8,27,"8-27",107
11,29,"11-29",106
17,26,"17-26",106
27,32,"27-32",106
7,19,"7-19",106
8,23,"8-23",106
14,33,"14-33",105
14,39,"14-39",105
18,20,"18-20",105
19,31,"19-31",105
23,31,"23-31",105
23,32,"23-32",105
28,40,"28-40",105
3,46,"3-46",105
4,10,"4-10",105
7,18,"7-18",105
15,32,"15-32",104
15,42,"15-42",103
16,22,"16-22",103
3,24,"3-24",103
1,22,"1-22",102
12,42,"12-42",102
3,16,"3-16",102
2,47,"2-47",101
20,41,"20-41",100
5,18,"5-18",99
13,40,"13-40",97
24,47,"24-47",92
