"date","draw_number","draw_sum","odd_count","even_count","low_count","high_count","spread"
"",41,118,0,6,4,2,40
"",42,160,4,2,3,3,32
"",43,161,3,3,4,2,38
"",44,148,2,4,3,3,43
"",45,162,2,4,3,3,47
"",46,150,4,2,3,3,46
"",47,133,3,3,3,3,44
"",48,171,3,3,3,3,32
"",49,176,2,4,2,4,37
"",50,101,3,3,5,1,23
"",51,153,1,5,2,4,40
"",52,226,4,2,1,5,36
"",601,145,3,3,3,3,45
"",1,177,3,3,2,4,42
"",2,100,4,2,5,1,39
"",3,182,4,2,2,4,40
"",4,123,3,3,4,2,40
"",5,198,4,2,1,5,43
"",6,183,3,3,3,3,34
"",7,151,3,3,2,4,42
"",8,122,2,4,3,3,37
"",9,152,4,2,3,3,37
"",10,160,2,4,3,3,40
"",11,161,3,3,3,3,33
"",12,179,5,1,2,4,44
"",13,114,0,6,4,2,40
"",14,154,2,4,3,3,42
"",15,164,4,2,3,3,42
"",16,158,4,2,3,3,40
"",17,131,3,3,3,3,43
"",18,144,4,2,3,3,44
"",19,151,5,1,3,3,29
"",20,114,4,2,5,1,27
"",21,89,3,3,4,2,41
"",22,131,3,3,4,2,45
"",23,173,3,3,2,4,44
"",24,145,3,3,4,2,37
"",25,227,5,1,0,6,20
"",26,108,2,4,5,1,29
"",27,215,1,5,1,5,35
"",28,178,4,2,2,4,40
"",29,170,4,2,2,4,40
"",30,136,2,4,3,3,41
"",31,152,4,2,3,3,36
"",32,151,3,3,3,3,27
"",33,114,4,2,4,2,29
"",34,207,1,5,1,5,26
"",35,138,6,0,2,4,40
"",36,169,3,3,2,4,29
"",37,134,4,2,4,2,48
"",38,137,1,5,2,4,39
"",39,96,2,4,4,2,44
"",40,151,3,3,2,4,37
"",41,140,2,4,4,2,25
"",42,160,2,4,2,4,47
"",43,158,2,4,4,2,35
"",44,170,0,6,2,4,28
"",45,149,3,3,4,2,41
"",46,194,4,2,0,6,16
"",47,254,2,4,0,6,19
"",48,156,2,4,3,3,40
"",49,139,3,3,4,2,48
"",50,90,2,4,5,1,42
"",51,162,4,2,3,3,35
"",52,171,3,3,3,3,31
"",601,120,4,2,4,2,44
"",602,146,6,0,3,3,38
"",0,141,3,3,3,3,47
"",1,195,1,5,1,5,42
"",2,98,4,2,4,2,26
"",3,170,4,2,2,4,32
"",4,175,3,3,2,4,45
"",5,84,4,2,5,1,27
"",6,169,3,3,2,4,33
"",7,167,3,3,3,3,38
"",8,172,2,4,2,4,43
"",9,168,2,4,2,4,39
"",10,164,6,0,3,3,46
"",11,90,2,4,5,1,25
"",12,205,3,3,1,5,28
"",13,202,4,2,1,5,25
"",14,123,3,3,4,2,39
"",15,146,2,4,2,4,33
"",16,103,5,1,5,1,43
"",17,172,4,2,2,4,37
"",18,91,3,3,5,1,23
"",19,140,4,2,3,3,31
"",20,160,2,4,2,4,46
"",21,173,3,3,3,3,29
"",22,160,2,4,3,3,42
"",23,196,2,4,1,5,42
"",24,138,4,2,3,3,33
"",25,150,2,4,2,4,33
"",26,124,4,2,4,2,36
"",27,124,2,4,3,3,32
"",28,168,4,2,3,3,39
"",29,163,3,3,2,4,43
"",30,195,3,3,2,4,41
"",31,131,3,3,3,3,39
"",32,174,6,0,2,4,40
"",33,195,3,3,0,6,18
"",34,132,2,4,4,2,38
"",35,176,2,4,1,5,40
"",36,152,4,2,2,4,16
"",37,161,3,3,3,3,47
"",38,167,1,5,2,4,22
"",39,137,3,3,4,2,46
"",40,236,6,0,1,5,26
"",41,104,4,2,3,3,38
"",42,146,2,4,2,4,38
"",43,147,5,1,3,3,27
"",44,122,2,4,4,2,34
"",45,131,3,3,4,2,41
"",46,161,3,3,2,4,39
"",47,125,3,3,4,2,27
"",48,147,3,3,3,3,47
"",49,174,2,4,2,4,33
"",50,112,4,2,4,2,43
"",51,118,4,2,3,3,32
"",52,109,1,5,5,1,38
"",601,111,5,1,4,2,48
"",602,156,2,4,3,3,44
"",0,193,3,3,2,4,34
"",1,118,4,2,3,3,38
"",2,169,3,3,2,4,43
"",3,101,3,3,5,1,39
"",4,117,3,3,4,2,31
"",5,82,4,2,5,1,39
"",6,99,5,1,4,2,31
"",7,139,5,1,4,2,46
"",8,123,1,5,4,2,39
"",9,141,3,3,3,3,31
"",10,162,2,4,2,4,21
"",11,207,3,3,1,5,41
"",12,170,2,4,3,3,33
"",13,135,3,3,3,3,34
"",14,149,5,1,3,3,44
"",15,124,2,4,4,2,34
"",16,163,5,1,3,3,42
"",17,164,4,2,3,3,32
"",18,100,4,2,4,2,41
"",19,136,4,2,4,2,25
"",20,113,3,3,4,2,39
"",21,173,5,1,2,4,33
"",22,190,4,2,2,4,33
"",23,124,2,4,4,2,40
"",24,188,4,2,2,4,45
"",25,153,1,5,3,3,43
"",26,178,4,2,3,3,28
"",27,136,4,2,4,2,44
"",28,145,5,1,3,3,39
"",29,132,2,4,3,3,41
"",30,131,3,3,3,3,25
"",31,178,2,4,2,4,44
"",32,119,3,3,4,2,45
"",33,106,2,4,4,2,34
"",34,177,1,5,3,3,36
"",35,134,2,4,4,2,44
"",36,142,4,2,3,3,38
"",37,127,3,3,3,3,32
"",38,111,5,1,4,2,35
"",39,122,4,2,3,3,34
"",40,127,3,3,4,2,25
"",41,189,3,3,2,4,32
"",42,144,4,2,3,3,32
"",43,185,3,3,2,4,36
"",44,116,4,2,5,1,21
"",45,106,2,4,5,1,30
"",46,160,4,2,3,3,46
"",47,117,3,3,4,2,30
"",48,168,4,2,2,4,25
"",49,103,3,3,5,1,35
"",50,176,2,4,2,4,39
"",51,122,4,2,3,3,35
"",52,194,4,2,1,5,36
"",601,108,2,4,5,1,35
"",602,122,4,2,3,3,34
"",603,143,1,5,3,3,33
"",1,143,5,1,3,3,40
"",1,132,2,4,4,2,39
"",2,124,2,4,3,3,43
"",2,129,3,3,4,2,35
"",3,146,2,4,3,3,27
"",3,167,5,1,2,4,39
"",4,149,3,3,4,2,23
"",4,165,3,3,3,3,23
"",5,144,4,2,3,3,28
"",5,114,2,4,4,2,33
"",6,204,0,6,1,5,30
"",6,154,2,4,3,3,39
"",7,161,3,3,3,3,38
"",7,139,5,1,3,3,34
"",8,183,3,3,2,4,26
"",8,184,2,4,1,5,26
"",9,99,3,3,4,2,28
"",9,134,6,0,4,2,46
"",10,151,3,3,3,3,44
"",10,116,0,6,4,2,44
"",11,152,4,2,3,3,46
"",11,124,2,4,4,2,36
"",12,165,3,3,3,3,44
"",12,113,3,3,3,3,32
"",13,218,4,2,1,5,40
"",13,106,4,2,4,2,47
"",14,171,5,1,2,4,33
"",14,147,3,3,3,3,44
"",15,130,2,4,4,2,43
"",15,95,1,5,4,2,38
"",16,176,2,4,2,4,33
"",16,191,3,3,2,4,29
"",17,183,3,3,1,5,39
"",17,139,3,3,3,3,34
"",18,109,3,3,4,2,26
"",18,158,4,2,3,3,43
"",19,187,5,1,2,4,38
"",19,121,3,3,4,2,42
"",20,146,2,4,4,2,33
"",20,100,2,4,5,1,44
"",21,105,3,3,4,2,27
"",21,124,2,4,4,2,35
"",22,136,2,4,3,3,44
"",22,148,4,2,3,3,44
"",23,147,1,5,3,3,40
"",23,150,2,4,3,3,42
"",24,144,4,2,3,3,47
"",24,135,5,1,3,3,47
"",25,186,4,2,1,5,38
"",25,96,2,4,5,1,27
"",26,152,4,2,2,4,28
"",26,133,3,3,3,3,45
"",27,179,3,3,2,4,41
"",27,208,2,4,1,5,39
"",28,163,1,5,3,3,34
"",28,178,2,4,2,4,43
"",29,140,2,4,4,2,37
"",29,217,3,3,1,5,34
"",30,188,2,4,2,4,31
"",30,174,4,2,2,4,46
"",31,112,4,2,4,2,45
"",31,124,4,2,4,2,47
"",32,142,2,4,3,3,35
"",32,96,2,4,5,1,39
"",33,125,5,1,4,2,36
"",33,166,2,4,3,3,41
"",34,149,3,3,3,3,29
"",34,137,3,3,3,3,32
"",35,249,5,1,0,6,20
"",35,133,3,3,3,3,37
"",36,142,2,4,3,3,37
"",36,175,3,3,2,4,29
"",37,123,3,3,4,2,43
"",37,170,4,2,2,4,42
"",38,178,4,2,2,4,48
"",38,106,2,4,5,1,21
"",39,113,3,3,4,2,37
"",39,163,3,3,2,4,42
"",40,182,6,0,2,4,44
"",40,108,2,4,4,2,19
"",41,137,5,1,3,3,42
"",41,162,2,4,3,3,41
"",42,175,3,3,2,4,28
"",42,170,4,2,2,4,47
"",43,149,1,5,4,2,38
"",43,168,2,4,3,3,34
"",44,114,4,2,5,1,38
"",44,109,3,3,4,2,37
"",45,177,1,5,2,4,45
"",45,166,2,4,3,3,38
"",46,188,2,4,1,5,28
"",46,128,2,4,3,3,31
"",47,132,0,6,4,2,40
"",47,110,2,4,4,2,43
"",48,128,2,4,4,2,42
"",48,77,3,3,5,1,23
"",49,116,2,4,4,2,40
"",49,88,6,0,5,1,42
"",50,186,4,2,2,4,29
"",50,203,1,5,1,5,42
"",51,196,2,4,2,4,39
"",51,143,1,5,3,3,34
"",52,117,3,3,4,2,41
"",52,116,2,4,5,1,43
"",601,216,4,2,1,5,32
"",601,163,3,3,2,4,40
"",1,143,3,3,3,3,27
"",1,149,3,3,3,3,45
"",2,148,2,4,4,2,44
"",2,107,3,3,5,1,36
"",3,99,5,1,4,2,28
"",3,129,3,3,2,4,29
"",4,84,2,4,4,2,31
"",4,199,3,3,2,4,43
"",5,195,5,1,2,4,26
"",5,128,2,4,3,3,37
"",6,133,5,1,4,2,34
"",6,164,2,4,3,3,36
"",7,133,3,3,3,3,35
"",7,122,2,4,4,2,32
"",8,167,3,3,2,4,39
"",8,110,2,4,4,2,20
"",9,142,4,2,4,2,43
"",9,183,1,5,3,3,24
"",10,184,2,4,3,3,25
"",10,133,5,1,4,2,38
"",11,221,5,1,1,5,32
"",11,164,2,4,3,3,24
"",12,153,3,3,3,3,35
"",12,128,4,2,3,3,41
"",13,189,3,3,2,4,33
"",13,137,3,3,3,3,31
"",14,68,2,4,6,0,19
"",14,137,5,1,3,3,44
"",15,196,4,2,1,5,34
"",15,188,4,2,2,4,35
"",16,162,4,2,3,3,36
"",16,163,3,3,3,3,47
"",17,114,2,4,4,2,43
"",17,119,3,3,5,1,36
"",18,167,5,1,2,4,44
"",18,148,2,4,3,3,41
"",19,169,3,3,3,3,33
"",19,198,2,4,1,5,45
"",20,194,2,4,3,3,35
"",20,106,2,4,4,2,42
"",21,120,4,2,4,2,40
"",21,150,2,4,3,3,38
"",22,146,4,2,3,3,47
"",22,132,2,4,4,2,43
"",23,122,4,2,4,2,30
"",23,142,4,2,3,3,45
"",24,167,1,5,2,4,45
"",24,192,4,2,2,4,28
"",25,111,3,3,4,2,39
"",25,110,4,2,5,1,32
"",26,153,1,5,3,3,41
"",26,173,3,3,3,3,39
"",27,150,4,2,2,4,46
"",27,146,4,2,3,3,22
"",28,145,3,3,4,2,40
"",28,135,3,3,3,3,42
"",29,166,4,2,3,3,47
"",29,213,3,3,1,5,37
"",30,121,5,1,4,2,42
"",30,140,4,2,3,3,45
"",31,223,3,3,1,5,33
"",31,156,4,2,2,4,46
"",32,187,3,3,2,4,39
"",32,121,3,3,4,2,38
"",33,159,5,1,3,3,30
"",33,122,2,4,3,3,34
"",34,141,1,5,3,3,41
"",34,159,1,5,2,4,38
"",35,167,3,3,3,3,26
"",35,120,0,6,4,2,44
"",36,165,5,1,2,4,40
"",36,160,4,2,2,4,34
"",37,203,3,3,1,5,39
"",37,93,1,5,5,1,37
"",38,133,5,1,3,3,26
"",38,164,6,0,2,4,46
"",39,203,5,1,1,5,48
"",39,228,2,4,1,5,43
"",40,84,2,4,6,0,20
"",40,152,2,4,3,3,29
"",41,170,4,2,2,4,42
"",41,181,3,3,2,4,41
"",42,198,4,2,1,5,37
"",42,143,3,3,3,3,35
"",43,123,1,5,3,3,36
"",43,188,2,4,1,5,39
"",44,131,3,3,3,3,36
"",44,67,3,3,6,0,19
"",45,107,5,1,4,2,34
"",45,172,4,2,3,3,43
"",46,214,4,2,1,5,34
"",46,106,2,4,5,1,22
"",47,153,3,3,2,4,25
"",47,122,4,2,4,2,35
"",48,107,3,3,4,2,40
"",48,179,3,3,2,4,43
"",49,123,1,5,3,3,32
"",49,141,3,3,4,2,28
"",50,162,4,2,3,3,48
"",50,167,3,3,3,3,37
"",51,177,5,1,2,4,36
"",51,165,3,3,3,3,43
"",52,84,4,2,4,2,39
"",52,106,0,6,3,3,26
"",601,156,4,2,2,4,40
"",601,168,4,2,2,4,41
"",1,178,4,2,2,4,38
"",1,120,2,4,4,2,36
"",2,152,4,2,3,3,34
"",2,175,3,3,2,4,39
"",3,131,3,3,3,3,34
"",3,194,2,4,2,4,19
"",4,170,2,4,2,4,37
"",4,175,3,3,2,4,29
"",5,97,5,1,4,2,41
"",5,148,4,2,3,3,48
"",6,106,4,2,4,2,37
"",6,126,4,2,4,2,48
"",7,220,4,2,0,6,20
"",7,122,4,2,4,2,37
"",8,169,5,1,3,3,42
"",8,112,4,2,4,2,41
"",9,204,4,2,1,5,42
"",9,184,2,4,3,3,30
"",10,132,4,2,4,2,42
"",10,162,2,4,3,3,38
"",11,142,4,2,4,2,42
"",11,174,2,4,1,5,20
"",12,178,2,4,2,4,33
"",12,138,2,4,4,2,36
"",13,99,5,1,4,2,32
"",13,129,3,3,4,2,38
"",14,157,3,3,3,3,26
"",14,192,4,2,2,4,30
"",15,98,2,4,5,1,38
"",15,203,5,1,2,4,40
"",16,147,3,3,3,3,39
"",16,175,3,3,2,4,38
"",17,134,2,4,3,3,41
"",17,154,2,4,3,3,45
"",18,137,3,3,4,2,45
"",18,156,6,0,3,3,34
"",19,215,3,3,2,4,36
"",19,200,6,0,2,4,36
"",20,146,4,2,3,3,32
"",20,129,5,1,4,2,46
"",21,148,4,2,3,3,27
"",21,115,3,3,4,2,34
"",22,180,4,2,1,5,23
"",22,187,3,3,2,4,35
"",23,151,3,3,3,3,41
"",23,102,2,4,5,1,42
"",24,167,5,1,2,4,38
"",24,134,2,4,4,2,34
"",25,169,3,3,3,3,25
"",25,158,0,6,3,3,34
"",26,139,5,1,4,2,44
"",26,124,4,2,5,1,15
"",27,105,3,3,5,1,37
"",27,201,1,5,1,5,24
"",28,149,3,3,3,3,29
"",28,164,4,2,3,3,29
"",29,64,2,4,5,1,28
"",29,156,2,4,2,4,25
"",30,118,4,2,4,2,43
"",30,149,3,3,2,4,32
"",31,155,3,3,3,3,34
"",31,170,6,0,2,4,42
"",32,124,2,4,4,2,24
"",32,169,3,3,3,3,34
"",33,195,3,3,2,4,33
"",33,143,3,3,3,3,37
"",34,189,3,3,1,5,34
"",34,124,4,2,4,2,44
"",35,184,4,2,2,4,48
"",35,162,2,4,2,4,33
"",36,153,3,3,2,4,43
"",36,184,4,2,2,4,37
"",37,151,3,3,2,4,22
"",37,151,3,3,3,3,34
"",38,140,4,2,4,2,32
"",38,132,4,2,3,3,42
"",39,119,3,3,4,2,32
"",39,175,3,3,2,4,44
"",40,124,4,2,3,3,45
"",40,144,2,4,3,3,35
"",41,159,3,3,3,3,29
"",41,112,0,6,4,2,38
"",42,153,3,3,4,2,31
"",42,159,1,5,3,3,43
"",43,82,4,2,5,1,37
"",43,158,6,0,3,3,40
"",44,137,3,3,3,3,39
"",44,193,5,1,1,5,30
"",45,133,1,5,4,2,32
"",45,133,3,3,3,3,30
"",46,155,3,3,3,3,33
"",46,97,3,3,5,1,36
"",47,189,5,1,2,4,44
"",47,191,3,3,2,4,47
"",48,167,3,3,2,4,46
"",48,95,5,1,5,1,42
"",49,198,2,4,1,5,42
"",49,119,3,3,4,2,18
"",50,81,3,3,4,2,25
"",50,159,3,3,3,3,46
"",51,167,3,3,2,4,38
"",51,133,1,5,4,2,24
"",52,111,3,3,5,1,30
"",52,195,3,3,2,4,28
"",601,166,2,4,4,2,28
"",601,132,4,2,3,3,31
"",1,201,5,1,2,4,32
"",1,153,3,3,3,3,35
"",2,188,2,4,1,5,45
"",2,162,2,4,3,3,33
"",3,159,3,3,4,2,48
"",3,95,5,1,4,2,40
"",4,189,1,5,1,5,31
"",4,109,3,3,4,2,22
"",5,165,3,3,2,4,35
"",5,243,3,3,0,6,17
"",6,141,1,5,2,4,22
"",6,130,2,4,4,2,41
"",7,122,4,2,4,2,26
"",7,109,5,1,4,2,28
"",8,157,1,5,3,3,35
"",8,98,2,4,4,2,30
"",9,99,3,3,5,1,21
"",9,141,3,3,4,2,35
"",10,159,3,3,2,4,34
"",10,163,3,3,3,3,37
"",11,125,5,1,3,3,36
"",11,88,4,2,5,1,25
"",12,203,1,5,1,5,29
"",12,151,3,3,3,3,24
"",13,131,3,3,4,2,43
"",13,135,1,5,4,2,45
"",14,140,2,4,4,2,38
"",14,144,6,0,4,2,48
"",15,178,4,2,1,5,38
"",15,112,4,2,4,2,42
"",16,127,3,3,4,2,37
"",16,163,3,3,2,4,37
"",17,104,2,4,4,2,31
"",17,178,4,2,3,3,36
"",18,194,4,2,1,5,35
"",18,141,3,3,3,3,36
"",19,196,4,2,1,5,47
"",19,131,3,3,4,2,37
"",20,125,5,1,4,2,28
"",20,135,5,1,3,3,34
"",21,164,2,4,3,3,40
"",21,136,2,4,4,2,27
"",22,143,3,3,3,3,31
"",22,161,3,3,2,4,27
"",23,183,3,3,3,3,28
"",23,136,2,4,4,2,36
"",24,93,3,3,5,1,29
"",24,136,2,4,4,2,39
"",25,139,3,3,3,3,39
"",25,193,3,3,1,5,35
"",26,187,3,3,2,4,40
"",26,98,6,0,5,1,32
"",27,82,2,4,4,2,28
"",27,150,4,2,4,2,32
"",28,163,1,5,3,3,37
"",28,171,1,5,2,4,44
"",29,200,2,4,2,4,40
"",29,118,2,4,4,2,35
"",30,192,2,4,1,5,27
"",30,180,4,2,3,3,43
"",31,121,3,3,3,3,38
"",31,142,2,4,4,2,39
"",32,184,2,4,2,4,31
"",32,113,3,3,4,2,35
"",33,140,4,2,4,2,26
"",33,107,1,5,4,2,35
"",34,127,3,3,3,3,26
"",34,183,1,5,1,5,42
"",35,153,3,3,3,3,41
"",35,138,6,0,3,3,36
"",36,179,3,3,2,4,34
"",36,125,3,3,4,2,39
"",37,235,3,3,1,5,31
"",37,161,1,5,3,3,38
"",38,137,3,3,3,3,37
"",38,144,4,2,2,4,36
"",39,180,4,2,1,5,41
"",39,130,4,2,3,3,32
"",40,140,4,2,4,2,39
"",40,144,4,2,2,4,29
"",41,189,1,5,2,4,46
"",41,176,6,0,2,4,40
"",42,124,4,2,4,2,39
"",42,185,3,3,2,4,39
"",43,143,3,3,4,2,29
"",43,183,3,3,2,4,39
"",44,184,4,2,3,3,33
"",44,125,5,1,4,2,42
"",45,182,2,4,1,5,42
"",45,159,3,3,3,3,40
"",46,98,2,4,5,1,42
"",46,246,2,4,0,6,18
"",47,216,4,2,0,6,22
"",47,136,4,2,4,2,36
"",48,142,2,4,3,3,30
"",48,134,2,4,3,3,31
"",49,135,5,1,4,2,40
"",49,131,5,1,4,2,44
"",50,179,5,1,2,4,32
"",50,157,3,3,3,3,41
"",51,166,4,2,2,4,41
"",51,197,3,3,1,5,35
"",52,162,6,0,3,3,42
"",52,76,2,4,6,0,18
"",601,235,5,1,0,6,24
"",601,115,3,3,3,3,35
"",602,111,5,1,4,2,30
"",602,158,4,2,3,3,46
"",603,210,4,2,1,5,38
"",603,139,3,3,4,2,35
"",1,133,1,5,4,2,44
"",1,96,4,2,5,1,22
"",2,174,2,4,3,3,29
"",2,96,4,2,5,1,32
"",3,186,4,2,2,4,34
"",3,106,2,4,4,2,45
"",4,135,3,3,3,3,20
"",4,158,0,6,3,3,46
"",5,205,5,1,1,5,23
"",5,128,4,2,4,2,40
"",6,159,1,5,3,3,22
"",6,206,4,2,1,5,27
"",7,133,3,3,5,1,36
"",7,83,3,3,5,1,32
