Двойка,Число A,Число B,Появявания
11-42,11,42,1
11-46,11,46,1
11-48,11,48,1
12-15,12,15,1
12-16,12,16,1
12-18,12,18,1
12-20,12,20,1
12-22,12,22,1
12-26,12,26,1
12-28,12,28,1
12-33,12,33,1
12-35,12,35,1
12-36,12,36,1
12-41,12,41,1
12-42,12,42,1
12-44,12,44,1
13-14,13,14,1
13-15,13,15,1
13-17,13,17,1
13-18,13,18,1
13-19,13,19,1
13-20,13,20,1
13-22,13,22,1
13-24,13,24,1
13-27,13,27,1
13-31,13,31,1
13-32,13,32,1
13-33,13,33,1
13-35,13,35,1
13-37,13,37,1
13-40,13,40,1
13-48,13,48,1
14-21,14,21,1
14-23,14,23,1
14-24,14,24,1
14-27,14,27,1
14-28,14,28,1
14-29,14,29,1
14-37,14,37,1
14-43,14,43,1
15-16,15,16,1
15-17,15,17,1
15-19,15,19,1
15-23,15,23,1
15-26,15,26,1
15-35,15,35,1
15-49,15,49,1
16-30,16,30,1
16-34,16,34,1
16-35,16,35,1
16-37,16,37,1
16-39,16,39,1
16-40,16,40,1
16-44,16,44,1
16-49,16,49,1
17-18,17,18,1
17-20,17,20,1
17-22,17,22,1
17-28,17,28,1
17-29,17,29,1
17-31,17,31,1
17-35,17,35,1
17-41,17,41,1
17-42,17,42,1
17-44,17,44,1
17-45,17,45,1
17-46,17,46,1
18-21,18,21,1
18-22,18,22,1
18-24,18,24,1
18-26,18,26,1
18-28,18,28,1
18-34,18,34,1
18-39,18,39,1
18-40,18,40,1
18-41,18,41,1
18-44,18,44,1
18-46,18,46,1
19-24,19,24,1
19-26,19,26,1
19-35,19,35,1
19-40,19,40,1
19-41,19,41,1
19-42,19,42,1
19-47,19,47,1
19-48,19,48,1
20-25,20,25,1
20-28,20,28,1
20-29,20,29,1
20-31,20,31,1
20-33,20,33,1
20-38,20,38,1
20-41,20,41,1
20-44,20,44,1
20-47,20,47,1
20-48,20,48,1
21-22,21,22,1
21-24,21,24,1
21-36,21,36,1
21-37,21,37,1
21-38,21,38,1
21-39,21,39,1
21-45,21,45,1
21-48,21,48,1
21-49,21,49,1
22-24,22,24,1
22-25,22,25,1
22-29,22,29,1
22-30,22,30,1
22-32,22,32,1
22-39,22,39,1
22-40,22,40,1
22-41,22,41,1
22-42,22,42,1
22-43,22,43,1
22-44,22,44,1
22-46,22,46,1
22-49,22,49,1
23-30,23,30,1
23-33,23,33,1
23-35,23,35,1
23-37,23,37,1
23-39,23,39,1
23-44,23,44,1
23-48,23,48,1
23-49,23,49,1
24-26,24,26,1
24-27,24,27,1
24-30,24,30,1
24-34,24,34,1
24-42,24,42,1
24-43,24,43,1
24-46,24,46,1
25-27,25,27,1
25-29,25,29,1
25-30,25,30,1
25-37,25,37,1
25-44,25,44,1
25-45,25,45,1
25-46,25,46,1
25-48,25,48,1
26-28,26,28,1
26-29,26,29,1
26-32,26,32,1
26-33,26,33,1
26-35,26,35,1
26-36,26,36,1
26-38,26,38,1
26-39,26,39,1
26-40,26,40,1
26-41,26,41,1
26-49,26,49,1
27-29,27,29,1
27-30,27,30,1
27-36,27,36,1
27-37,27,37,1
27-42,27,42,1
27-47,27,47,1
28-29,28,29,1
28-30,28,30,1
28-32,28,32,1
28-33,28,33,1
28-35,28,35,1
28-40,28,40,1
28-42,28,42,1
28-43,28,43,1
28-46,28,46,1
28-48,28,48,1
29-30,29,30,1
29-39,29,39,1
29-40,29,40,1
29-46,29,46,1
29-49,29,49,1
30-33,30,33,1
30-34,30,34,1
30-36,30,36,1
30-37,30,37,1
30-38,30,38,1
30-39,30,39,1
30-41,30,41,1
30-43,30,43,1
30-46,30,46,1
31-37,31,37,1
31-42,31,42,1
31-44,31,44,1
31-48,31,48,1
32-33,32,33,1
32-36,32,36,1
32-43,32,43,1
32-46,32,46,1
32-49,32,49,1
33-36,33,36,1
33-37,33,37,1
33-39,33,39,1
33-42,33,42,1
33-43,33,43,1
33-44,33,44,1
33-45,33,45,1
33-49,33,49,1
34-36,34,36,1
34-37,34,37,1
34-49,34,49,1
35-37,35,37,1
35-40,35,40,1
35-49,35,49,1
36-38,36,38,1
36-42,36,42,1
36-44,36,44,1
36-45,36,45,1
36-46,36,46,1
37-40,37,40,1
37-44,37,44,1
37-45,37,45,1
37-47,37,47,1
38-40,38,40,1
38-43,38,43,1
38-45,38,45,1
38-47,38,47,1
39-42,39,42,1
39-43,39,43,1
39-44,39,44,1
39-49,39,49,1
40-41,40,41,1
40-42,40,42,1
40-44,40,44,1
40-47,40,47,1
41-43,41,43,1
41-44,41,44,1
41-46,41,46,1
41-49,41,49,1
42-48,42,48,1
43-44,43,44,1
43-45,43,45,1
43-46,43,46,1
43-47,43,47,1
44-45,44,45,1
44-47,44,47,1
44-48,44,48,1
44-49,44,49,1
45-46,45,46,1
45-48,45,48,1
46-47,46,47,1
46-49,46,49,1
48-49,48,49,1
